Name,Minimum ph ,Maximum ph,Minimum N ,Maximum N,Minimum P,Maximum P,Minimum K,Maximum K,Minimum Temp,Maximum Temp,Start Month,End Month
BLACKGRAM(Vigna_mungo),6,7.5,0,12,0,10,0,12,25,30,3,4
"MUSTARD(Srassica_juncia,Brassica_napus)",5.5,6.8,0,80,0,24,0,60,10,25,10,11
MUSTARD(Brassica_campestris),5.5,6.8,0,60,0,18,0,40,10,25,10,11
GROUNDNUT(Arachis_hypogaea),5.3,6.6,0,24,0,24,0,30,25,30,3,4
SOWBEAN(Gipcine_max),6,7.5,0,27,0,36,0,60,20,30,2,3
SUNFLOWER(Helianthus_annus),6,7.5,0,70,0,24,0,56,20,25,10,11
POTATO(Solanunt_tuberosum),5,6.5,0,90,0,20,0,90,15,20,10,11
SWEET_POTATO(pomoed_batatas),5,6.5,0,80,0,24,0,80,20,30,2,3
AROIDS(Araceae),5.5,7,0,70,0,20,0,60,20,30,3,4
PANT_KACHU(Colocasia_esculenta),5.5,7,0,70,0,20,0,60,25,35,3,4
"CAULIFLOWER(rassica_oleracea)(Var.Snow_white,Earlytropical-40)",6,7.5,0,60,0,30,0,50,15,20,9,10
CAULIFLOWER(Var.BARI_Phulcopi-1(Rupa)),6,7.5,0,80,0,40,0,60,15,20,9,10
BROCCOLI(rassica_oleracea),6,7,0,60,0,24,0,40,15,20,9,10
"CABBAGE(rassica_oleracea)(Var_K-K_Cross,Atlas-70)",6,7.5,0,120,0,30,0,40,15,20,9,10
CABBAGE(rassica_oleracea)(Var.BARI_Badhakopi-1(Provati)),6,7.5,0,80,0,24,0,30,15,20,9,10
CHINESE_CABBAGE(rassica_chinensis),6,7.5,0,70,0,20,0,24,15,20,9,10
CHINASAK(Frassica_chinensis),5.5,7,0,60,0,16,0,20,15,20,9,10
KANGKONG(Jpomoea_aquatica),5.5,7,0,60,0,20,0,30,20,30,2,3
INDIAN_SPINACH(Sasella_alba),5.5,7,0,70,0,20,0,40,25,30,3,4
SPINACH (Spinacea_oleracea),5.5,7,0,30,0,10,0,10,10,25,10,11
AMARANTHUS(Ariaranthus_lividiis),6,7.5,0,60,0,18,0,30,18,30,3,4
RED_AMARANTHUS(Amaranthus_gangeticus),6,7.5,0,50,0,12,0,20,12,20,2,3
TOMATO(Solanum_lycopersicum)(Winter),5.5,7.5,0,60,0,24,0,30,24,30,10,11
TOMATO(Solanum_lycopersicum)(Summer),5.5,7.5,0,80,0,30,0,40,20,25,2,3
BRINJAL(Solanum_melongena),6,7,0,90,0,24,0,70,24,30,2,3
LADY'S_FINGER(Abelmoschus_esculentis),6,7,0,90,0,30,0,80,25,30,2,3
RADISH(Raphinus_sativus),5.5,6.8,0,60,0,20,0,40,18,25,10,11
CARROT(Daucus_carota),5.5,7,0,80,0,26,0,60,26,30,10,11
COUNTRY_BEAN(Dolichas_lablab),6,7,0,30,0,20,0,30,20,30,2,3
FRENCH_BEAN(Phaseolus_vulgaris),6,7,0,50,0,20,0,30,20,30,2,3
GARDEN_PEA(Piswin sativin),6,7,0,30,0,16,0,20,16,20,10,11
CUCUMBER(Cucumis_sativus),5.5,7,0,50,0,16,0,40,25,30,3,4
SWEET_GOURD(Cucurbita_moschata),5.5,7,0,50,0,24,0,40,25,30,3,4
ASH_GOURD(Senincasa_hispida),5.5,7,0,40,0,20,0,30,20,30,3,4
TEASLE_GOURD(Momordica_cochinchinenst),5.5,7,0,40,0,16,0,28,16,28,3,4
BITTER_GOURD(Momordica_charantta),5.5,7,0,50,0,20,0,30,20,30,3,4
POINTED_GOURD(Trichosanthes_dioica),5.5,7,0,60,0,12,0,24,12,24,2,3
SNAKE_GOURD(Trichosanthes_anguina),5.5,7,0,50,0,24,0,40,24,40,7,8
ONION(Allium_cepa),6,7,0,70,0,30,0,60,20,25,10,11
SUMMER_ONION(Allium_cepa),6,7,0,50,0,20,0,40,20,25,2,3
ONION_SEED(Allium_cepa),6,7,0,80,0,30,0,70,20,25,10,11
GARLIC(Allium_sativum),6,7,0,76,0,32,0,60,20,25,10,11
GINGER(Zingiber_officinale),5.5,6.5,0,90,0,30,0,80,25,30,3,4
TURMERIC(Curcuma_longa),5,7.5,0,70,0,20,0,80,25,30,3,4
CHILLI(Capsicum_annuum),5.5,6.8,0,64,0,30,0,50,20,30,3,4
CORIANDER(Coriandrum_sativum),6,7.5,0,50,0,20,0,32,15,25,10,11
BLACK_CUMIN(Nigella_sativa),6,7.5,0,40,0,16,0,30,15,25,10,11
FENUGREER(Trigonella_foenum-graecum),6,7,0,50,0,20,0,40,15,25,10,11
PINEAPPLE(Ananas_sativis),4.5,6.5,0,120,0,50,0,120,20,30,3,4
WATER_MELON(Citrulfus_colacyathis),6,6.8,0,70,0,24,0,54,25,30,2,3
STRAWBERRY(Fragaria_ananassa),5.5,6.5,0,90,0,36,0,80,20,25,10,11
SUGARCANE(Saccharum_officinarun),6,7.5,0,120,0,40,0,90,25,35,2,3
SUGAR_BEET(feta_vulgaris),6,7.5,0,100,0,30,0,80,15,25,10,11
BETEL_LEAF(Piper_hetle),6,7,0,40,0,16,0,24,20,30,3,4
MARIGOLD(French_marigold),6,7,0,60,0,26,0,60,20,25,2,3
MARIGOLD(African_marigold),6,7,0,90,0,40,0,80,20,25,2,3
ROSE(Resa_centifloriu),6,6.8,0,70,0,50,0,70,20,25,10,11
TUBEROSE(Pefanthes_tuberasa),6,6.8,0,150,0,46,0,90,20,30,3,4
GLADIOLUS (Gladiolus_spp.),5.5,6.5,0,120,0,44,0,90,15,25,10,11
ZINNIA(Zinnia_elegans),6,7,0,50,0,16,0,30,20,30,9,10
GERBERA(Gerbera_jamesornit),5.5,6.5,0,100,0,50,0,80,18,25,10,11
CHRYSANTHEMUM(Chrysanthemum_coronarium)(Large_flowered_varieties),6,6.8,0,100,0,50,0,80,15,25,10,11
CHRYSANTHEMUM(Chrysanthemum_coronarium),6,6.8,0,90,0,44,0,80,15,25,10,11
ORCHID(Phatus_fankervilfeae),5.5,7,0,44,0,20,0,40,18,30,1,12
NAPIER_GRASS(Pennisetum_purpurenm),6,7,0,90,0,24,0,30,25,35,6,7
PARA_GRASS(frachiaria_mutica),6,7,0,80,0,20,0,20,25,35,6,7
GERMAN_GRASS(Echinochloa_polystachya),6,7,0,70,0,20,0,20,25,35,6,7
DHAL_GRASS(Mymenachne_amplexicaulis),6,7,0,100,0,20,0,20,25,35,6,7
GUINEA_GRASS(Panicum_maximum),6,7,0,90,0,20,0,24,25,35,6,7
JUMBO(Hybrid_sorghum),6,7,0,80,0,20,0,22,25,35,6,7
AAMBOO_GRASS(Hybrid_jowar),6,7,0,30,0,6,0,8,25,35,6,7
